CPU,NUMERO_ITERACION,LATENCIA
1,2245,25978
1,2246,27237
1,2247,26497
1,2248,27238
1,2249,27219
1,2250,26997
1,2251,21256
1,2252,28848
1,2253,26478
1,2254,26534
1,2255,26312
1,2256,26960
1,2257,25960
1,2258,27571
1,2259,26274
1,2260,26941
1,2261,25960
1,2262,27127
1,2263,21441
1,2264,28515
1,2265,27015
1,2266,27256
1,2267,26034
1,2268,27034
1,2269,25996
1,2270,26922
1,2271,25701
1,2272,27497
1,2273,26201
1,2274,27145
1,2275,25941
1,2276,26830
1,2277,25738
1,2278,28756
1,2279,31015
1,2280,25941
1,2281,27201
1,2282,26663
1,2283,27682
1,2284,26459
1,2285,31645
1,2286,26200
1,2287,30626
1,2288,26201
1,2289,30108
1,2290,25719
1,2291,26978
1,2292,26811
1,2293,27830
1,2294,26775
1,2295,26053
1,2296,25552
1,2297,30256
1,2298,25849
1,2299,29941
1,2300,25812
1,2301,27700
1,2302,26589
1,2303,27312
1,2304,25904
1,2305,30200
1,2306,25867
1,2307,29997
1,2308,25774
1,2309,27330
1,2310,26459
1,2311,27256
1,2312,26312
1,2313,26052
1,2314,26053
1,2315,26811
1,2316,25904
1,2317,26848
1,2318,26460
1,2319,27478
1,2320,26052
1,2321,27867
1,2322,26070
1,2323,26219
1,2324,26015
1,2325,27441
1,2326,26052
1,2327,26923
1,2328,25941
1,2329,26626
1,2330,26071
1,2331,26849
1,2332,25700
1,2333,26737
1,2334,25608
1,2335,26534
1,2336,25848
1,2337,27479
1,2338,25960
1,2339,26978
1,2340,26348
1,2341,26830
1,2342,26238
1,2343,26849
1,2344,25978
1,2345,26960
1,2346,26867
1,2347,26886
1,2348,25756
1,2349,26960
1,2350,26182
1,2351,26015
1,2352,26645
1,2353,27515
1,2354,26089
1,2355,26552
1,2356,25775
1,2357,26849
1,2358,26219
1,2359,27404
1,2360,26016
1,2361,26997
1,2362,25774
1,2363,26738
1,2364,25996
1,2365,26460
1,2366,26071
1,2367,27219
1,2368,25886
1,2369,26849
1,2370,25645
1,2371,27052
1,2372,26645
1,2373,26200
1,2374,25812
1,2375,27015
1,2376,26015
1,2377,26886
1,2378,26256
1,2379,27052
1,2380,25719
1,2381,26663
1,2382,26108
1,2383,26793
1,2384,25793
1,2385,27201
1,2386,26015
1,2387,27923
1,2388,26108
1,2389,26219
1,2390,25590
1,2391,27107
1,2392,25941
1,2393,26886
1,2394,25830
1,2395,27774
1,2396,26348
1,2397,26978
1,2398,25775
1,2399,26775
1,2400,25701
1,2401,26811
1,2402,26052
1,2403,27534
1,2404,25868
1,2405,26793
1,2406,25886
1,2407,26293
1,2408,26090
1,2409,28515
1,2410,26756
1,2411,27071
1,2412,26127
1,2413,26886
1,2414,25830
1,2415,26645
1,2416,25627
1,2417,26775
1,2418,25830
1,2419,25997
1,2420,26034
1,2421,25219
1,2422,31256
1,2423,30960
1,2424,30645
1,2425,31274
1,2426,30756
1,2427,31053
1,2428,30756
1,2429,30941
1,2430,30627
1,2431,30996
1,2432,27979
1,2433,30867
1,2434,26608
1,2435,27330
1,2436,25738
1,2437,26831
1,2438,25941
1,2439,27515
1,2440,25886
1,2441,26663
1,2442,25867
1,2443,26830
1,2444,30793
1,2445,27015
1,2446,30645
1,2447,25904
1,2448,30256
1,2449,25756
1,2450,27811
1,2451,30701
1,2452,37275
1,2453,31571
1,2454,36478
1,2455,33571
1,2456,28793
1,2457,30830
1,2458,36885
1,2459,31330
1,2460,36386
1,2461,27849
1,2462,31311
1,2463,31070
1,2464,36348
1,2465,31070
1,2466,36256
1,2467,27182
1,2468,31552
1,2469,30700
1,2470,36663
1,2471,31570
1,2472,33033
1,2473,25516
1,2474,31627
1,2475,30700
1,2476,30311
1,2477,31441
1,2478,32626
1,2479,26979
1,2480,33367
1,2481,29145
1,2482,30812
1,2483,27201
1,2484,31812
1,2485,31163
1,2486,32145
1,2487,30571
1,2488,32552
1,2489,33089
1,2490,30534
1,2491,30775
1,2492,30534
1,2493,30645
1,2494,32497
1,2495,30793
1,2496,26534
1,2497,30478
1,2498,30886
1,2499,31589
1,2500,31182
1,2501,31237
1,2502,30219
1,2503,30645
1,2504,31201
1,2505,30682
1,2506,31996
1,2507,27163
1,2508,30645
1,2509,30904
1,2510,30811
1,2511,30905
1,2512,33553
1,2513,31071
1,2514,31238
1,2515,30904
1,2516,31052
1,2517,31219
1,2518,27793
1,2519,31663
1,2520,30719
1,2521,30534
1,2522,31070
1,2523,25200
1,2524,28552
1,2525,30627
1,2526,30701
1,2527,31144
1,2528,31571
1,2529,25811
1,2530,31515
1,2531,30738
1,2532,30997
1,2533,31181
1,2534,31237
1,2535,29534
1,2536,31219
1,2537,30848
1,2538,31293
1,2539,30922
1,2540,26089
1,2541,30515
1,2542,30645
1,2543,31052
1,2544,31830
1,2545,24997
1,2546,27775
1,2547,31089
1,2548,31478
1,2549,30608
1,2550,30885
1,2551,31089
1,2552,28015
1,2553,30830
1,2554,31330
